Dataset,Species,Version
acalliptera,Eastern happy,fAstCal1.2
acarolinensis,Anole lizard,AnoCar2.0
acchrysaetos,Golden eagle,bAquChr1.2
acitrinellus,Midas cichlid,Midas_v5
amelanoleuca,Panda,ailMel1
amexicanus,Mexican tetra,Astyanax_mexicanus-2.0
ampachon,Pachon cavefish,Astyanax_mexicanus-1.0.2
anancymaae,Ma's night monkey,Anan_2.0
applatyrhynchos,Duck,CAU_duck1.0
atestudineus,Climbing perch,fAnaTes1.1
bbbison,American bison,Bison_UMD1.0
bgrunniens,Domestic yak,LU_Bosgru_v3.0
bihybrid,Hybrid - Bos Indicus,UOA_Brahman_1
bmutus,Wild yak,BosGru_v2.0
bsplendens,Siamese fighting fish,fBetSpl5.2
btaurus,Cow,ARS-UCD1.2
bthybrid,Hybrid - Bos Taurus,UOA_Angus_1
cabingdonii,Abingdon island giant tortoise,ASM359739v1
capalliatus,Angola colobus,Cang.pa_1.0
caperea,Brazilian guinea pig,CavAp1.0
catys,Sooty mangabey,Caty_1.0
ccanadensis,American beaver,C.can_genome_v1.0
ccapucinus,Capuchin,Cebus_imitator-1.0
cdromedarius,Arabian camel,CamDro2
celegans,Caenorhabditis elegans,WBcel235
cfamiliaris,Dog,CanFam3.1
cgchok1gshd,Chinese hamster CHOK1GS,CHOK1GS_HDv1
cgcrigri,Chinese hamster CriGri,CriGri_1.0
cgobio,Channel bull blenny,fCotGob3.1
cgpicr,Chinese hamster PICR,CriGri-PICR
charengus,Atlantic herring,Ch_v2.0.2
chircus,Goat,ARS1
choffmanni,Sloth,choHof1
cintestinalis,C.intestinalis,KH
cjacchus,Marmoset,ASM275486v1
cjaponica,Japanese quail,Coturnix_japonica_2.0
clanigera,Long-tailed chinchilla,ChiLan1.0
cldingo,Dingo,ASM325472v1
cmilii,Elephant shark,Callorhinchus_milii-6.1.3
cpbellii,Painted turtle,Chrysemys_picta_bellii-3.0.3
cporcellus,Guinea Pig,Cavpor3.0
cporosus,Australian saltwater crocodile,CroPor_comp1
csabaeus,Vervet-AGM,ChlSab1.1
